time_s,step,observation,action_pre_scale
1776846425.681054,1,"[-0.11975960433483124,0.03011424094438553,-0.9923461079597473,-0.33500102162361145,0.07383523136377335,-0.13239242136478424,-0.42998990416526794,-0.21276243031024933,-0.02526642009615898,0.26809927821159363,-0.01592554897069931,0.08189067244529724,-0.4540487825870514,0.2932294011116028,-0.038688454777002335,-0.0002288405376020819,0.0001420479966327548,-0.00016229726315941662,-0.00010713025403674692,0.0010890456615015864,-0.0047246660105884075,-4.5868491724831983e-05,-0.00029910923331044614,8.416779019171372e-05,7.300780271179974e-05,0.0002154971589334309,-0.0002738911425694823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.009841839782893658,0.0651833787560463,-0.007904015481472015,-0.07655508071184158,-1.981256127357483,-0.19272780418395996,-0.0806085467338562,-0.09829293191432953,0.3177698254585266,0.14319831132888794,-0.05880825221538544,0.020190255716443062]"
1776846425.698708,2,"[-0.1197521984577179,0.030157040804624557,-0.9923456907272339,-0.3251790702342987,0.07300224155187607,-0.12873399257659912,-0.4210963845252991,-0.20583955943584442,-0.024119533598423004,0.2574850916862488,-0.015627475455403328,0.08243214339017868,-0.45427194237709045,0.2703985869884491,-0.048549238592386246,0.7138519883155823,-0.06193454936146736,0.28915148973464966,0.7820183038711548,0.4708788990974426,0.08882714807987213,-0.792130708694458,0.03388598561286926,0.03257916867733002,-0.00924008060246706,-1.4959269762039185,-0.5087904930114746,0.009841839782893658,0.0651833787560463,-0.007904015481472015,-0.07655508071184158,-1.981256127357483,-0.19272780418395996,-0.0806085467338562,-0.09829293191432953,0.3177698254585266,0.14319831132888794,-0.05880825221538544,0.020190255716443062,0.0,0.0,0.0]","[0.024378977715969086,0.07233969122171402,0.027787476778030396,-0.21126364171504974,-3.0951647758483887,-0.16840730607509613,-0.08532915264368057,-0.10395679622888565,0.40781721472740173,0.33427491784095764,-0.011584572494029999,0.04810594394803047]"
1776846425.719008,3,"[-0.11886417120695114,0.027640778571367264,-0.9925256967544556,-0.3007960319519043,0.06926833093166351,-0.12072426825761795,-0.3999980688095093,-0.1949046552181244,-0.024826228618621826,0.23205867409706116,-0.015897588804364204,0.07935459166765213,-0.4441526532173157,0.23355481028556824,-0.052121810615062714,1.3547639846801758,-0.2331317961215973,0.4533897340297699,1.124791145324707,0.538106381893158,-0.1293622851371765,-1.354114055633545,-0.009451049380004406,-0.23021525144577026,0.6593894958496094,-1.7624711990356445,-0.057259030640125275,0.024378977715969086,0.07233969122171402,0.027787476778030396,-0.21126364171504974,-3.0951647758483887,-0.16840730607509613,-0.08532915264368057,-0.10395679622888565,0.40781721472740173,0.33427491784095764,-0.011584572494029999,0.04810594394803047,0.0,0.0,0.0]","[0.0364290289580822,0.05541142076253891,0.07749618589878082,-0.29249560832977295,-3.6319994926452637,-0.19360440969467163,-0.048014990985393524,-0.08611413836479187,0.4761786162853241,0.3970726430416107,-0.006706960499286652,0.011493692174553871]"
1776846425.739153,4,"[-0.11747599393129349,0.023472124710679054,-0.9927982687950134,-0.26580914855003357,0.06177414208650589,-0.10757875442504883,-0.37345319986343384,-0.18693001568317413,-0.025448422878980637,0.20155297219753265,-0.0157094057649374,0.06937172263860703,-0.4190920293331146,0.2078920304775238,-0.045980777591466904,1.8004815578460693,-0.38473793864250183,0.6981124877929688,1.4699287414550781,0.35049188137054443,-0.007756282575428486,-1.5336257219314575,0.021624509245157242,-0.5295410752296448,1.349531888961792,-1.1581041812896729,0.367556095123291,0.0364290289580822,0.05541142076253891,0.07749618589878082,-0.29249560832977295,-3.6319994926452637,-0.19360440969467163,-0.048014990985393524,-0.08611413836479187,0.4761786162853241,0.3970726430416107,-0.006706960499286652,0.011493692174553871,0.0,0.0,0.0]","[0.02366488240659237,0.06528161466121674,0.1280061900615692,-0.31304728984832764,-3.886911392211914,-0.21351392567157745,-0.008958340622484684,-0.09600833058357239,0.5054918527603149,0.31165680289268494,-0.06327960640192032,-0.04879571869969368]"
1776846425.759572,5,"[-0.11599744856357574,0.019222283735871315,-0.9930635094642639,-0.22972658276557922,0.051939647644758224,-0.09355145692825317,-0.35000863671302795,-0.1827164590358734,-0.023862313479185104,0.17299257218837738,-0.015378976240754128,0.05498012155294418,-0.3845670819282532,0.19315621256828308,-0.03720215708017349,1.7742078304290771,-0.5060441493988037,0.7072349190711975,1.16045081615448,0.18163934350013733,0.05861971154808998,-1.393866777420044,0.016108565032482147,-0.7342952489852905,1.775047779083252,-0.6552033424377441,0.4412763714790344,0.02366488240659237,0.06528161466121674,0.1280061900615692,-0.31304728984832764,-3.886911392211914,-0.21351392567157745,-0.008958340622484684,-0.09600833058357239,0.5054918527603149,0.31165680289268494,-0.06327960640192032,-0.04879571869969368,0.0,0.0,0.0]","[0.008335151709616184,0.09171831607818604,0.14415791630744934,-0.294158935546875,-4.040411949157715,-0.20938485860824585,0.0002537500113248825,-0.11384791880846024,0.5043149590492249,0.20562726259231567,-0.10634824633598328,-0.07037241756916046]"
1776846425.779089,6,"[-0.11466272920370102,0.01584043726325035,-0.9932782053947449,-0.19802598655223846,0.0408947691321373,-0.07947152853012085,-0.32780593633651733,-0.1808890402317047,-0.023593008518218994,0.14807510375976562,-0.014882411807775497,0.04023325815796852,-0.3470099866390228,0.18541285395622253,-0.028589380905032158,1.5333421230316162,-0.5612562298774719,0.6983182430267334,1.0943845510482788,0.07723766565322876,0.009581346996128559,-1.2124035358428955,0.02818264812231064,-0.7282518148422241,1.88321053981781,-0.34230536222457886,0.4239766001701355,0.008335151709616184,0.09171831607818604,0.14415791630744934,-0.294158935546875,-4.040411949157715,-0.20938485860824585,0.0002537500113248825,-0.11384791880846024,0.5043149590492249,0.20562726259231567,-0.10634824633598328,-0.07037241756916046,0.0,0.0,0.0]","[-0.000776633620262146,0.1231054961681366,0.1542046070098877,-0.25439611077308655,-4.170456886291504,-0.18260572850704193,0.009855901822447777,-0.131011962890625,0.47162333130836487,0.12367477267980576,-0.12419858574867249,-0.07094165682792664]"
1776846425.799383,7,"[-0.11320991069078445,0.013322258368134499,-0.9934817552566528,-0.17257453501224518,0.029253164306282997,-0.06653541326522827,-0.3080958425998688,-0.18020522594451904,-0.023546958342194557,0.1271323412656784,-0.01399300992488861,0.02725258655846119,-0.3107266426086426,0.18152523040771484,-0.02085970900952816,1.2116565704345703,-0.5849528312683105,0.6328188180923462,0.9566078186035156,0.02771041914820671,0.0018875317182391882,-1.009587287902832,0.048354994505643845,-0.6261692047119141,1.786462426185608,-0.17016959190368652,0.37764179706573486,-0.000776633620262146,0.1231054961681366,0.1542046070098877,-0.25439611077308655,-4.170456886291504,-0.18260572850704193,0.009855901822447777,-0.131011962890625,0.47162333130836487,0.12367477267980576,-0.12419858574867249,-0.07094165682792664,0.0,0.0,0.0]","[-0.005612678825855255,0.14529377222061157,0.1551734209060669,-0.19678276777267456,-4.3126678466796875,-0.15318480134010315,0.01643851026892662,-0.1474326252937317,0.43018317222595215,0.046247415244579315,-0.11570991575717926,-0.06711220741271973]"
1776846425.819206,8,"[-0.11253810673952103,0.011125514283776283,-0.9935851097106934,-0.15274956822395325,0.019368577748537064,-0.0535321980714798,-0.2913186550140381,-0.1800212264060974,-0.023311510682106018,0.11140989512205124,-0.013205638155341148,0.019016098231077194,-0.2856481373310089,0.16523458063602448,-0.01195209939032793,0.9468817710876465,-0.4695906639099121,0.6552687287330627,0.8037531971931458,0.0066975317895412445,0.015365047380328178,-0.7227932214736938,0.03491416573524475,-0.36304450035095215,1.1492047309875488,-1.1552953720092773,0.34545013308525085,-0.005612678825855255,0.14529377222061157,0.1551734209060669,-0.19678276777267456,-4.3126678466796875,-0.15318480134010315,0.01643851026892662,-0.1474326252937317,0.43018317222595215,0.046247415244579315,-0.11570991575717926,-0.06711220741271973,0.0,0.0,0.0]","[-0.012526284903287888,0.13839885592460632,0.10175200551748276,-0.11034756898880005,-4.616171836853027,-0.11254221200942993,0.02154194936156273,-0.16234788298606873,0.3995537757873535,-0.008476870134472847,-0.021922390908002853,-0.05916833505034447]"
1776846425.839128,9,"[-0.11291944980621338,0.008908094838261604,-0.9935641884803772,-0.13713482022285461,0.010852056555449963,-0.041281361132860184,-0.27757689356803894,-0.18011216819286346,-0.022339873015880585,0.09753040224313736,-0.012282476760447025,0.013462676666676998,-0.2696898877620697,0.15005728602409363,-0.006480948068201542,0.744863748550415,-0.4205239415168762,0.5923430323600769,0.6599369049072266,-0.006875736638903618,0.06326603889465332,-0.6951889991760254,0.042011797428131104,-0.2674837112426758,0.7500180006027222,-0.6184448003768921,0.3087201416492462,-0.012526284903287888,0.13839885592460632,0.10175200551748276,-0.11034756898880005,-4.616171836853027,-0.11254221200942993,0.02154194936156273,-0.16234788298606873,0.3995537757873535,-0.008476870134472847,-0.021922390908002853,-0.05916833505034447,0.0,0.0,0.0]","[-0.011568710207939148,0.14765715599060059,0.035432688891887665,-0.044988203793764114,-4.909643173217773,-0.07951696217060089,0.02418304607272148,-0.15798059105873108,0.377344012260437,-0.07256990671157837,0.026968857273459435,-0.03978079929947853]"
1776846425.858997,10,"[-0.11268589645624161,0.006924808956682682,-0.9936065077781677,-0.12514770030975342,0.002938522258773446,-0.03126612305641174,-0.2668973207473755,-0.18041452765464783,-0.01996791362762451,0.08484730124473572,-0.011787968687713146,0.009322751313447952,-0.25813764333724976,0.14365971088409424,-0.0011969953775405884,0.5670180320739746,-0.388668954372406,0.4801701605319977,0.5038397312164307,-0.016565486788749695,0.13038155436515808,-0.6047468185424805,0.022493422031402588,-0.1884850263595581,0.5400732159614563,-0.31260937452316284,0.20419134199619293,-0.011568710207939148,0.14765715599060059,0.035432688891887665,-0.044988203793764114,-4.909643173217773,-0.07951696217060089,0.02418304607272148,-0.15798059105873108,0.377344012260437,-0.07256990671157837,0.026968857273459435,-0.03978079929947853,0.0,0.0,0.0]","[-0.01142190396785736,0.15792450308799744,-0.019411303102970123,-0.002977224765345454,-5.241636276245117,-0.05072122439742088,0.019548021256923676,-0.14741656184196472,0.34558290243148804,-0.12996509671211243,0.04294057935476303,-0.011157233268022537]"
