time_s,step,observation,action_pre_scale
1776933907.993225,1,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,-0.02014652080833912,0.004029304254800081,0.036263737827539444,-0.06043956056237221,-0.018315019086003304,-0.012210012413561344,-0.02014652080833912,-0.028205128386616707,0.012087912298738956,0.0684981718659401,0.012210012413561344,0.018315019086003304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.03107648342847824,2.4765849113464355,0.49608010053634644,-1.6004877090454102,-1.23902428150177,1.060611367225647,-0.043290164321660995,-1.2293460369110107,0.4996115565299988,-1.21273934841156,-1.0491836071014404,-0.09718203544616699]"
1776933908.015724,2,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.004029304254800081,-0.04432234540581703,-0.04432234540581703,0.036263737827539444,0.0,0.018315019086003304,-0.005320581141859293,-0.004029304254800081,-0.02014652080833912,-0.028205128386616707,-0.030525030568242073,-0.012210012413561344,0.03107648342847824,2.4765849113464355,0.49608010053634644,-1.6004877090454102,-1.23902428150177,1.060611367225647,-0.043290164321660995,-1.2293460369110107,0.4996115565299988,-1.21273934841156,-1.0491836071014404,-0.09718203544616699,0.0,0.0,0.0]","[-0.0876714438199997,2.7530136108398438,1.1825522184371948,-1.97963547706604,-0.7804663777351379,1.377238154411316,0.23347315192222595,-1.859883189201355,0.6217095255851746,-0.3054121732711792,-1.3712704181671143,0.09466851502656937]"
1776933908.039049,3,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,-0.012087912298738956,-0.036263737827539444,-0.004029304254800081,0.012087912298738956,0.006105006206780672,0.012210012413561344,0.020353272557258606,-0.012087912298738956,-0.07655677944421768,-0.028411880135536194,-0.022447697818279266,-0.0041326796635985374,-0.0876714438199997,2.7530136108398438,1.1825522184371948,-1.97963547706604,-0.7804663777351379,1.377238154411316,0.23347315192222595,-1.859883189201355,0.6217095255851746,-0.3054121732711792,-1.3712704181671143,0.09466851502656937,0.0,0.0,0.0]","[-0.153572216629982,2.8951570987701416,1.5608335733413696,-2.025298833847046,-0.6254255175590515,1.520445466041565,0.22190770506858826,-2.042226791381836,0.7284627556800842,-0.031154222786426544,-1.6586499214172363,0.34455111622810364]"
1776933908.054860,4,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009145433083176613,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.004029304254800081,-0.04432234540581703,-0.02014652080833912,-0.0958172082901001,0.006105006206780672,0.012210012413561344,-0.004029304254800081,-0.028205128386616707,-0.11684981733560562,0.04746555536985397,-0.02442002482712269,0.018315019086003304,-0.153572216629982,2.8951570987701416,1.5608335733413696,-2.025298833847046,-0.6254255175590515,1.520445466041565,0.22190770506858826,-2.042226791381836,0.7284627556800842,-0.031154222786426544,-1.6586499214172363,0.34455111622810364,0.0,0.0,0.0]","[-0.1623050719499588,2.9427871704101562,1.7239100933074951,-2.026951551437378,-0.5676900744438171,1.5715056657791138,0.17829158902168274,-2.094935178756714,0.7644140124320984,0.03272022306919098,-1.791947603225708,0.4796138405799866]"
1776933908.074499,5,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.02014652080833912,0.04432234540581703,0.06043956056237221,-0.010605579242110252,-0.012210012413561344,0.04273504391312599,-0.02162885293364525,-0.028205128386616707,0.036263737827539444,0.028205128386616707,0.010875476524233818,0.016980484127998352,-0.1623050719499588,2.9427871704101562,1.7239100933074951,-2.026951551437378,-0.5676900744438171,1.5715056657791138,0.17829158902168274,-2.094935178756714,0.7644140124320984,0.03272022306919098,-1.791947603225708,0.4796138405799866,0.0,0.0,0.0]","[-0.1605219841003418,2.94628643989563,1.7683089971542358,-2.0190937519073486,-0.5521113872528076,1.584802508354187,0.15284927189350128,-2.1031455993652344,0.7711763381958008,0.04104996100068092,-1.8141021728515625,0.5195630788803101]"
1776933908.095049,6,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,0.018333572894334793,0.07655677944421768,0.004029304254800081,-0.06043956056237221,-0.011040783487260342,-0.01714579202234745,-0.012087912298738956,-0.028205128386616707,0.04432234540581703,-0.04613529145717621,0.019484248012304306,0.02558925375342369,-0.1605219841003418,2.94628643989563,1.7683089971542358,-2.0190937519073486,-0.5521113872528076,1.584802508354187,0.15284927189350128,-2.1031455993652344,0.7711763381958008,0.04104996100068092,-1.8141021728515625,0.5195630788803101,0.0,0.0,0.0]","[-0.15749822556972504,2.94728684425354,1.7810211181640625,-2.013082981109619,-0.5447753071784973,1.5860470533370972,0.14942796528339386,-2.1066195964813232,0.7666681408882141,0.035505764186382294,-1.8272567987442017,0.5367921590805054]"
1776933908.116557,7,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.011209506541490555,-0.028205128386616707,-0.012087912298738956,0.036263737827539444,-0.00163649907335639,0.004468509927392006,-0.0031508980318903923,-0.028205128386616707,-0.004029304254800081,-0.019268114119768143,-0.018315019086003304,0.03663003817200661,-0.15749822556972504,2.94728684425354,1.7810211181640625,-2.013082981109619,-0.5447753071784973,1.5860470533370972,0.14942796528339386,-2.1066195964813232,0.7666681408882141,0.035505764186382294,-1.8272567987442017,0.5367921590805054,0.0,0.0,0.0]","[-0.155600443482399,2.9470560550689697,1.7896480560302734,-2.007490396499634,-0.537055253982544,1.587549090385437,0.14756278693675995,-2.111079454421997,0.7622984051704407,0.033168599009513855,-1.834463119506836,0.5483351349830627]"
1776933908.135653,8,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.021944710984826088,0.028205128386616707,0.004029304254800081,0.036263737827539444,-0.02442002482712269,0.030525030568242073,-0.0138861034065485,-0.06043956056237221,-0.06043956056237221,-0.012087912298738956,0.012210012413561344,-0.006105006206780672,-0.155600443482399,2.9470560550689697,1.7896480560302734,-2.007490396499634,-0.537055253982544,1.587549090385437,0.14756278693675995,-2.111079454421997,0.7622984051704407,0.033168599009513855,-1.834463119506836,0.5483351349830627,0.0,0.0,0.0]","[-0.1552906185388565,2.9497270584106445,1.7963402271270752,-2.007418155670166,-0.532450795173645,1.5868741273880005,0.14587414264678955,-2.108112096786499,0.7618969082832336,0.033664219081401825,-1.8384883403778076,0.5551123023033142]"
1776933908.153322,9,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.012087912298738956,-0.02014652080833912,-0.036263737827539444,0.14102564752101898,0.0,-0.006105006206780672,-0.004029304254800081,-0.012087912298738956,-0.04432234540581703,0.012087912298738956,0.012210012413561344,-0.006105006206780672,-0.1552906185388565,2.9497270584106445,1.7963402271270752,-2.007418155670166,-0.532450795173645,1.5868741273880005,0.14587414264678955,-2.108112096786499,0.7618969082832336,0.033664219081401825,-1.8384883403778076,0.5551123023033142,0.0,0.0,0.0]","[-0.1551424115896225,2.9464738368988037,1.795742392539978,-2.0028557777404785,-0.5253981947898865,1.5896875858306885,0.1446266919374466,-2.108729839324951,0.7547121047973633,0.03193581849336624,-1.8403394222259521,0.554198145866394]"
1776933908.173533,10,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,0.029703669250011444,-0.02014652080833912,-0.0684981718659401,-0.012087912298738956,0.012210012413561344,0.018315019086003304,0.0055278451181948185,-0.028205128386616707,0.02014652080833912,0.03476519510149956,-0.03663003817200661,0.006105006206780672,-0.1551424115896225,2.9464738368988037,1.795742392539978,-2.0028557777404785,-0.5253981947898865,1.5896875858306885,0.1446266919374466,-2.108729839324951,0.7547121047973633,0.03193581849336624,-1.8403394222259521,0.554198145866394,0.0,0.0,0.0]","[-0.15365245938301086,2.950709104537964,1.7954224348068237,-2.010136842727661,-0.539509117603302,1.5880095958709717,0.14351029694080353,-2.1053545475006104,0.7622615098953247,0.028246991336345673,-1.8346307277679443,0.5524215698242188]"
1776933908.193700,11,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.02014652080833912,-0.02014652080833912,0.012087912298738956,0.02014652080833912,0.019655374810099602,-0.02307967282831669,0.028205128386616707,0.004029304254800081,-0.012087912298738956,0.021617213264107704,-0.006105006206780672,0.0,-0.15365245938301086,2.950709104537964,1.7954224348068237,-2.010136842727661,-0.539509117603302,1.5880095958709717,0.14351029694080353,-2.1053545475006104,0.7622615098953247,0.028246991336345673,-1.8346307277679443,0.5524215698242188,0.0,0.0,0.0]","[-0.15297764539718628,2.9524216651916504,1.7955784797668457,-2.015322685241699,-0.5433984994888306,1.5877456665039062,0.14480292797088623,-2.1108644008636475,0.7675607800483704,0.03136657178401947,-1.835423469543457,0.5510655045509338]"
1776933908.215723,12,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.012087912298738956,-0.02014652080833912,0.02014652080833912,-0.05238095298409462,0.018315019086003304,-0.03663003817200661,-0.037141844630241394,-0.012087912298738956,-0.02014652080833912,0.12490842491388321,0.018315019086003304,0.0,-0.15297764539718628,2.9524216651916504,1.7955784797668457,-2.015322685241699,-0.5433984994888306,1.5877456665039062,0.14480292797088623,-2.1108644008636475,0.7675607800483704,0.03136657178401947,-1.835423469543457,0.5510655045509338,0.0,0.0,0.0]","[-0.154139444231987,2.9561727046966553,1.7993707656860352,-2.0223164558410645,-0.5494610667228699,1.585523009300232,0.14455093443393707,-2.1094281673431396,0.7730869054794312,0.038877252489328384,-1.8361362218856812,0.5516437888145447]"
1776933908.233667,13,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.014964592643082142,0.0017299847677350044,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.02014652080833912,-0.004029304254800081,-0.012087912298738956,0.05238095298409462,0.006105006206780672,0.012210012413561344,0.022550400346517563,-0.06043956056237221,-0.028205128386616707,0.0684981718659401,0.018315019086003304,-0.012210012413561344,-0.154139444231987,2.9561727046966553,1.7993707656860352,-2.0223164558410645,-0.5494610667228699,1.585523009300232,0.14455093443393707,-2.1094281673431396,0.7730869054794312,0.038877252489328384,-1.8361362218856812,0.5516437888145447,0.0,0.0,0.0]","[-0.15658847987651825,2.9490630626678467,1.795626163482666,-2.0108654499053955,-0.5362713932991028,1.5874427556991577,0.1467401534318924,-2.1124651432037354,0.7625929713249207,0.03579840064048767,-1.8372756242752075,0.5532891154289246]"
1776933908.254097,14,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.004029304254800081,-0.02014652080833912,0.004029304254800081,0.06043956056237221,-0.001340129878371954,0.02918490394949913,0.012087912298738956,-0.06043956056237221,0.004029304254800081,0.1329670399427414,0.018315019086003304,-0.012210012413561344,-0.15658847987651825,2.9490630626678467,1.795626163482666,-2.0108654499053955,-0.5362713932991028,1.5874427556991577,0.1467401534318924,-2.1124651432037354,0.7625929713249207,0.03579840064048767,-1.8372756242752075,0.5532891154289246,0.0,0.0,0.0]","[-0.154704287648201,2.9485175609588623,1.7942360639572144,-2.009551525115967,-0.5369957089424133,1.58823823928833,0.14337797462940216,-2.106762647628784,0.7644750475883484,0.033281028270721436,-1.8312697410583496,0.5496774315834045]"
1776933908.273903,15,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.004029304254800081,0.012087912298738956,0.028205128386616707,0.02014652080833912,0.006105006206780672,0.012210012413561344,0.036263737827539444,0.02171514183282852,-0.06043956056237221,0.06043956056237221,-0.006105006206780672,0.012210012413561344,-0.154704287648201,2.9485175609588623,1.7942360639572144,-2.009551525115967,-0.5369957089424133,1.58823823928833,0.14337797462940216,-2.106762647628784,0.7644750475883484,0.033281028270721436,-1.8312697410583496,0.5496774315834045,0.0,0.0,0.0]","[-0.15310072898864746,2.954678535461426,1.798302173614502,-2.017484188079834,-0.5429748296737671,1.5872303247451782,0.14486683905124664,-2.109801769256592,0.7691793441772461,0.033514268696308136,-1.8389341831207275,0.5524177551269531]"
1776933908.296490,16,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.002247883938252926,-0.006329594645649195,0.0065214005298912525,-0.021558208391070366,-0.004029304254800081,-0.04432234540581703,-0.036263737827539444,0.006105006206780672,0.0,-0.004029304254800081,-0.01350557804107666,0.02014652080833912,-0.10214429348707199,-0.006105006206780672,0.0,-0.15310072898864746,2.954678535461426,1.798302173614502,-2.017484188079834,-0.5429748296737671,1.5872303247451782,0.14486683905124664,-2.109801769256592,0.7691793441772461,0.033514268696308136,-1.8389341831207275,0.5524177551269531,0.0,0.0,0.0]","[-0.1547314077615738,2.9490315914154053,1.7943235635757446,-2.009129047393799,-0.5411943793296814,1.5863513946533203,0.14726820588111877,-2.1131069660186768,0.7627184987068176,0.03201659768819809,-1.8393163681030273,0.5561193227767944]"
1776933908.314045,17,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.005322297569364309,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.03755653649568558,-0.04561513289809227,0.012087912298738956,-0.04432234540581703,0.02442002482712269,0.006105006206780672,-0.028205128386616707,0.053679656237363815,-0.028205128386616707,0.06173235923051834,-0.012210012413561344,-0.006105006206780672,-0.1547314077615738,2.9490315914154053,1.7943235635757446,-2.009129047393799,-0.5411943793296814,1.5863513946533203,0.14726820588111877,-2.1131069660186768,0.7627184987068176,0.03201659768819809,-1.8393163681030273,0.5561193227767944,0.0,0.0,0.0]","[-0.15257225930690765,2.9602532386779785,1.8023617267608643,-2.025559186935425,-0.5550573468208313,1.5860856771469116,0.1434512734413147,-2.1090314388275146,0.7753227949142456,0.036637671291828156,-1.8388640880584717,0.5543736815452576]"
1776933908.336518,18,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.0045806472189724445,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006137788761407137,0.00671320641413331,0.02014652080833912,0.02112896740436554,-0.11684981733560562,0.06043956056237221,-0.006105006206780672,0.02442002482712269,0.004029304254800081,-0.037251900881528854,0.004029304254800081,0.04432234540581703,0.028940558433532715,0.010625539347529411,-0.15257225930690765,2.9602532386779785,1.8023617267608643,-2.025559186935425,-0.5550573468208313,1.5860856771469116,0.1434512734413147,-2.1090314388275146,0.7753227949142456,0.036637671291828156,-1.8388640880584717,0.5543736815452576,0.0,0.0,0.0]","[-0.1583244502544403,2.944395065307617,1.7924723625183105,-2.0036280155181885,-0.5312698483467102,1.5869596004486084,0.14832888543605804,-2.1112139225006104,0.7521454095840454,0.03372511267662048,-1.8384039402008057,0.5538331270217896]"
1776933908.353946,19,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011538511142134666,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.279293537139893,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,0.04432234540581703,-0.012087912298738956,0.02014652080833912,-0.04432234540581703,0.030525030568242073,0.012210012413561344,-0.030686181038618088,0.07098586857318878,-0.05238095298409462,0.06043956056237221,-0.03579486161470413,0.006940182764083147,-0.1583244502544403,2.944395065307617,1.7924723625183105,-2.0036280155181885,-0.5312698483467102,1.5869596004486084,0.14832888543605804,-2.1112139225006104,0.7521454095840454,0.03372511267662048,-1.8384039402008057,0.5538331270217896,0.0,0.0,0.0]","[-0.1525518000125885,2.9621424674987793,1.803763508796692,-2.026973247528076,-0.5533145070075989,1.5869629383087158,0.14222361147403717,-2.105668067932129,0.7759192585945129,0.03730542212724686,-1.84005606174469,0.5530651807785034]"
1776933908.374429,20,"[0.058079756796360016,-0.08383311331272125,-0.9947858452796936,-0.011922122910618782,-0.004938686266541481,0.0047460258938372135,0.009529044851660728,0.0151563985273242,0.001921790768392384,-0.00496425898745656,6.278909683227539,-0.01165850181132555,0.0026314957067370415,-0.006329594645649195,0.0065214005298912525,-0.013615265488624573,-0.0684981718659401,-0.04432234540581703,-0.012087912298738956,0.0,0.018315019086003304,-0.012087912298738956,-0.0297385323792696,0.004029304254800081,0.012087912298738956,0.0,0.006105006206780672,-0.1525518000125885,2.9621424674987793,1.803763508796692,-2.026973247528076,-0.5533145070075989,1.5869629383087158,0.14222361147403717,-2.105668067932129,0.7759192585945129,0.03730542212724686,-1.84005606174469,0.5530651807785034,0.0,0.0,0.0]","[-0.15626385807991028,2.948868751525879,1.7963378429412842,-2.0109479427337646,-0.541677713394165,1.584956407546997,0.14860115945339203,-2.1163947582244873,0.7633705735206604,0.03683212399482727,-1.840238332748413,0.5579195022583008]"
