time_s,step,observation,action_pre_scale
1777016359.945191,1,"[-0.0026203421875834465,0.57209312915802,-0.001771559240296483,-0.016218798235058784,0.007086797617375851,-0.9998433589935303,-7.174168422352523e-05,-0.00093129399465397,0.015191629528999329,-0.20640678703784943,-0.20482002198696136,-0.006238243542611599,0.0008079245453700423,-0.0008480623364448547,-0.013981538824737072,-0.21191348135471344,0.20834437012672424,-0.005276985000818968,-2.3123411665437743e-05,-0.0006786466110497713,0.0005010792519897223,0.059920717030763626,-0.24536488950252533,0.04858827963471413,0.000593762204516679,0.003986711613833904,-0.0008539631962776184,0.05767982453107834,0.23372524976730347,0.0009779635583981872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[-0.010780073702335358,-0.02402280643582344,0.06010216102004051,0.06657357513904572,0.4097151756286621,-0.05448448657989502,-0.003691849298775196,-0.12935997545719147,-0.22844040393829346,-0.20419137179851532,-0.7416719794273376,0.051624637097120285]"
1777016359.964378,2,"[-0.027342963963747025,0.4981131851673126,0.02771485410630703,-0.005730923265218735,0.007515349891036749,-0.9999553561210632,-0.00013699477131012827,-0.0014228338841348886,0.017423441633582115,-0.20256350934505463,-0.21012702584266663,-0.011925775557756424,0.0006504629855044186,-0.0033642183989286423,-0.015032663010060787,-0.21088571846485138,0.21134421229362488,-0.005341499578207731,-0.003375123254954815,-0.03587844595313072,0.14987757802009583,0.25844481587409973,-0.4002525806427002,-0.20717662572860718,-0.010972945019602776,-0.1437968909740448,-0.05477839708328247,0.0437600240111351,0.12438659369945526,0.06146015226840973,-0.010780073702335358,-0.02402280643582344,0.06010216102004051,0.06657357513904572,0.4097151756286621,-0.05448448657989502,-0.003691849298775196,-0.12935997545719147,-0.22844040393829346,-0.20419137179851532,-0.7416719794273376,0.051624637097120285,0.0,0.0,0.0]","[-0.026304323226213455,-0.05053793266415596,0.12552979588508606,0.14197157323360443,0.6231085658073425,-0.04097026586532593,-0.014865554869174957,-0.1860717535018921,-0.3217761218547821,-0.6283029317855835,-1.2237612009048462,0.04967746511101723]"
1777016359.984032,3,"[-0.041060060262680054,0.2710416913032532,0.0052208928391337395,0.0018212461145594716,0.008165019564330578,-0.9999650120735168,-0.00030025499290786684,-0.004582726862281561,0.025396445766091347,-0.19357863068580627,-0.21546077728271484,-0.009669751860201359,0.00013062695506960154,-0.008690761402249336,-0.01562265120446682,-0.21965429186820984,0.1996253877878189,-0.0001340089220320806,-0.00877202209085226,-0.1850433200597763,0.44760066270828247,0.47458624839782715,-0.18752527236938477,0.1575719714164734,-0.027331173419952393,-0.28861185908317566,-0.027098137885332108,-0.546448290348053,-0.7501760125160217,0.28639334440231323,-0.026304323226213455,-0.05053793266415596,0.12552979588508606,0.14197157323360443,0.6231085658073425,-0.04097026586532593,-0.014865554869174957,-0.1860717535018921,-0.3217761218547821,-0.6283029317855835,-1.2237612009048462,0.04967746511101723,0.0,0.0,0.0]","[-0.040166959166526794,-0.06480908393859863,0.19876763224601746,0.19919951260089874,0.7787635326385498,-0.025352612137794495,-0.03827790170907974,-0.199533149600029,-0.25034764409065247,-1.0107879638671875,-1.5428162813186646,0.010910704731941223]"
1777016360.004000,4,"[-0.07226426899433136,-0.04627113789319992,-0.03303505852818489,0.003420939901843667,0.009358491748571396,-0.9999503493309021,-0.0006333276396617293,-0.01004110835492611,0.04048712179064751,-0.18139517307281494,-0.21361760795116425,-0.008120612241327763,-0.0024630986154079437,-0.01617148518562317,-0.014521125704050064,-0.2461755871772766,0.1630677431821823,0.0038131827022880316,-0.01743372529745102,-0.2858135402202606,0.8144638538360596,0.633955717086792,0.15758952498435974,0.047009460628032684,-0.14241349697113037,-0.386844277381897,0.06907688081264496,-1.471578598022461,-2.046351194381714,0.17953383922576904,-0.040166959166526794,-0.06480908393859863,0.19876763224601746,0.19919951260089874,0.7787635326385498,-0.025352612137794495,-0.03827790170907974,-0.199533149600029,-0.25034764409065247,-1.0107879638671875,-1.5428162813186646,0.010910704731941223,0.0,0.0,0.0]","[-0.05166170001029968,-0.05373493209481239,0.27661192417144775,0.21731624007225037,0.9245851039886475,0.00024105049669742584,-0.09558943659067154,-0.14956419169902802,-0.0250265970826149,-1.1949318647384644,-1.8229973316192627,-0.03087630867958069]"
1777016360.024017,5,"[-0.07816623896360397,-0.22663770616054535,-0.07126832008361816,-1.8516708223614842e-05,0.010923226363956928,-0.9999403357505798,-0.0011435410706326365,-0.015472355298697948,0.059670012444257736,-0.16738389432430267,-0.20346127450466156,-0.008018800988793373,-0.00883833970874548,-0.022950083017349243,-0.008431749418377876,-0.28937122225761414,0.09802895039319992,0.0045431144535541534,-0.025814060121774673,-0.26423749327659607,0.9763706922531128,0.7055685520172119,0.5917906165122986,0.003193741664290428,-0.3397707939147949,-0.32113373279571533,0.3519335389137268,-2.263212203979492,-3.4934005737304688,0.021984346210956573,-0.05166170001029968,-0.05373493209481239,0.27661192417144775,0.21731624007225037,0.9245851039886475,0.00024105049669742584,-0.09558943659067154,-0.14956419169902802,-0.0250265970826149,-1.1949318647384644,-1.8229973316192627,-0.03087630867958069,0.0,0.0,0.0]","[-0.06817879527807236,-0.014280356466770172,0.3558272123336792,0.19960865378379822,1.1067628860473633,0.07731536775827408,-0.15524300932884216,-0.0497819259762764,0.28819775581359863,-1.2795958518981934,-2.0385046005249023,-0.04947894066572189]"
1777016360.043993,6,"[-0.05003824084997177,-0.2197229266166687,-0.09996462613344193,-0.004694452043622732,0.012018014676868916,-0.9999167323112488,-0.0027809503953903913,-0.018493955954909325,0.07791982591152191,-0.15358218550682068,-0.1801312118768692,-0.004794099368155003,-0.019324706867337227,-0.025001773610711098,0.005339585244655609,-0.3414900600910187,0.007577471900731325,0.003075197571888566,-0.0754370465874672,-0.13370175659656525,0.8880857229232788,0.6349145770072937,0.9544503688812256,0.18194687366485596,-0.5304672718048096,-0.06963850557804108,0.7484490275382996,-2.61979341506958,-4.750200271606445,-0.0850851982831955,-0.06817879527807236,-0.014280356466770172,0.3558272123336792,0.19960865378379822,1.1067628860473633,0.07731536775827408,-0.15524300932884216,-0.0497819259762764,0.28819775581359863,-1.2795958518981934,-2.0385046005249023,-0.04947894066572189,0.0,0.0,0.0]","[-0.0879741683602333,0.040218256413936615,0.43116360902786255,0.1688297986984253,1.2534247636795044,0.1916751265525818,-0.17749658226966858,0.010158456861972809,0.5552868247032166,-1.2610654830932617,-2.0738933086395264,-0.0507793091237545]"
1777016360.064006,7,"[-0.020117664709687233,-0.11045735329389572,-0.10406019538640976,-0.00789068266749382,0.012634643353521824,-0.9998890161514282,-0.00439442740753293,-0.01959027163684368,0.0920281708240509,-0.14310134947299957,-0.15719473361968994,0.004841012880206108,-0.030468355864286423,-0.023267047479748726,0.026636216789484024,-0.3923899829387665,-0.10523737967014313,0.0018033545929938555,-0.08016355335712433,-0.03960311412811279,0.6680270433425903,0.5070922374725342,1.2394518852233887,0.5271424651145935,-0.548285722732544,0.11447149515151978,1.119579553604126,-2.490079879760742,-5.809479713439941,-0.058039937168359756,-0.0879741683602333,0.040218256413936615,0.43116360902786255,0.1688297986984253,1.2534247636795044,0.1916751265525818,-0.17749658226966858,0.010158456861972809,0.5552868247032166,-1.2610654830932617,-2.0738933086395264,-0.0507793091237545,0.0,0.0,0.0]","[-0.10103127360343933,0.09959398210048676,0.5228815078735352,0.1423925757408142,1.3822523355484009,0.3170638382434845,-0.11857911944389343,-0.014081235975027084,0.7770382165908813,-1.0623154640197754,-1.5589386224746704,-0.0726553201675415]"
1777016360.083985,8,"[-0.004567526280879974,0.06656303256750107,-0.126664400100708,-0.008074496872723103,0.012808077968657017,-0.9998853802680969,-0.005195929203182459,-0.01989850401878357,0.10072705894708633,-0.13457922637462616,-0.12694162130355835,0.02217625081539154,-0.035005778074264526,-0.01959015615284443,0.051620032638311386,-0.4310747981071472,-0.209343820810318,0.000235912055359222,-0.03530019149184227,-0.011487750336527824,0.3747153878211975,0.40768304467201233,1.532662034034729,0.9181615114212036,-0.16171535849571228,0.18003416061401367,1.2292546033859253,-1.7712087631225586,-4.002262115478516,-0.10220209509134293,-0.10103127360343933,0.09959398210048676,0.5228815078735352,0.1423925757408142,1.3822523355484009,0.3170638382434845,-0.11857911944389343,-0.014081235975027084,0.7770382165908813,-1.0623154640197754,-1.5589386224746704,-0.0726553201675415,0.0,0.0,0.0]","[-0.09771939367055893,0.14407353103160858,0.6069381237030029,0.11975987255573273,1.4703547954559326,0.37784597277641296,-0.04511161148548126,-0.01857771724462509,0.9645248055458069,-0.7682849764823914,-0.8778060674667358,-0.09124906361103058]"
1777016360.104152,9,"[-0.028068117797374725,0.2716459631919861,-0.012026231735944748,-0.003764532506465912,0.013116113841533661,-0.9999068975448608,-0.005757408682256937,-0.019964158535003662,0.10420119762420654,-0.12879256904125214,-0.09783715009689331,0.04452953487634659,-0.03531812131404877,-0.017670031636953354,0.07813967019319534,-0.43889638781547546,-0.2090822458267212,-0.00514936400577426,-0.028084231540560722,-0.002790842205286026,0.1484748125076294,0.25945451855659485,1.415808916091919,1.126718282699585,-0.006493736524134874,0.07471418380737305,1.3565917015075684,-0.12857893109321594,0.3245377540588379,-0.29237818717956543,-0.09771939367055893,0.14407353103160858,0.6069381237030029,0.11975987255573273,1.4703547954559326,0.37784597277641296,-0.04511161148548126,-0.01857771724462509,0.9645248055458069,-0.7682849764823914,-0.8778060674667358,-0.09124906361103058,0.0,0.0,0.0]","[-0.09226246923208237,0.17009475827217102,0.6777297854423523,0.06583084166049957,1.4864144325256348,0.3519320785999298,0.05168503522872925,0.06011674180626869,1.058502197265625,-0.3819540739059448,-0.49166733026504517,-0.03680767863988876]"
1777016360.123921,10,"[-0.07872198522090912,0.2945760190486908,0.12915650010108948,0.002157714916393161,0.01428654883056879,-0.9998956322669983,-0.006233262363821268,-0.019932348281145096,0.1061238944530487,-0.12631021440029144,-0.07225470244884491,0.0642530620098114,-0.031940918415784836,-0.01515918131917715,0.10754403471946716,-0.4159211218357086,-0.1952914595603943,-0.008216342888772488,-0.023699911311268806,0.0017961070407181978,0.09795095026493073,0.09381018579006195,1.244323968887329,0.9393826723098755,0.19401347637176514,0.1463838517665863,1.4899464845657349,1.3771944046020508,0.6548806428909302,-0.11880064010620117,-0.09226246923208237,0.17009475827217102,0.6777297854423523,0.06583084166049957,1.4864144325256348,0.3519320785999298,0.05168503522872925,0.06011674180626869,1.058502197265625,-0.3819540739059448,-0.49166733026504517,-0.03680767863988876,0.0,0.0,0.0]","[-0.08620975911617279,0.20714138448238373,0.714813768863678,0.02017296850681305,1.3789225816726685,0.2933887839317322,0.14342717826366425,0.1318553239107132,1.0239593982696533,0.011044345796108246,-0.27971571683883667,-0.006449989974498749]"
1777016360.145767,11,"[-0.13449101150035858,0.20528900623321533,0.19272731244564056,0.007095568347722292,0.016534732654690742,-0.99983811378479,-0.006641521118581295,-0.019642630591988564,0.10981174558401108,-0.12601608037948608,-0.05202982947230339,0.07589109987020493,-0.022152820602059364,-0.008731399662792683,0.13638633489608765,-0.3657211363315582,-0.18578843772411346,-0.008585859090089798,-0.02040565200150013,0.01300056278705597,0.21304994821548462,0.007499853614717722,0.9331658482551575,0.50630784034729,0.5274224281311035,0.3605993986129761,1.4109110832214355,2.673825263977051,0.42765510082244873,-0.010543063282966614,-0.08620975911617279,0.20714138448238373,0.714813768863678,0.02017296850681305,1.3789225816726685,0.2933887839317322,0.14342717826366425,0.1318553239107132,1.0239593982696533,0.011044345796108246,-0.27971571683883667,-0.006449989974498749,0.0,0.0,0.0]","[-0.07158860564231873,0.2527022063732147,0.7180647253990173,-0.02288493514060974,1.2207772731781006,0.22676628828048706,0.17974604666233063,0.13867603242397308,0.917733371257782,0.34772801399230957,-0.24274909496307373,-0.028516920283436775]"
1777016360.164189,12,"[-0.18193557858467102,0.08016811311244965,0.21907082200050354,0.009819431230425835,0.019853349775075912,-0.9997546672821045,-0.007051830179989338,-0.018616581335663795,0.11719905585050583,-0.12658944725990295,-0.03988712280988693,0.07965942472219467,-0.008901327848434448,0.0014093780191615224,0.16174288094043732,-0.2973938584327698,-0.1783183217048645,-0.00862728338688612,-0.020580902695655823,0.0685293972492218,0.4109608232975006,-0.041995055973529816,0.5269915461540222,0.12272090464830399,0.6925219297409058,0.5362119674682617,1.2255725860595703,3.603024959564209,0.3862326145172119,-0.002791516249999404,-0.07158860564231873,0.2527022063732147,0.7180647253990173,-0.02288493514060974,1.2207772731781006,0.22676628828048706,0.17974604666233063,0.13867603242397308,0.917733371257782,0.34772801399230957,-0.24274909496307373,-0.028516920283436775,0.0,0.0,0.0]","[-0.054848965257406235,0.2859119474887848,0.6891255974769592,-0.05966469645500183,1.049564003944397,0.16339774429798126,0.1852928251028061,0.10696062445640564,0.7343764305114746,0.6013785600662231,-0.39898043870925903,-0.09847358614206314]"
1777016360.184098,13,"[-0.11871164292097092,0.2013157606124878,0.12153302133083344,0.01090349443256855,0.02328297309577465,-0.9996694326400757,-0.007281143683940172,-0.012801313772797585,0.12580925226211548,-0.12611529231071472,-0.024719450622797012,0.07839343696832657,0.004956803750246763,0.013217399828135967,0.1730421483516693,-0.23382656276226044,-0.1573723405599594,-0.01101484801620245,-0.0069075594656169415,0.39473992586135864,0.3552490472793579,0.1447906494140625,1.4822591543197632,-0.045930951833724976,0.6433162093162537,0.6277579069137573,0.2954947352409363,2.531442642211914,1.6766725778579712,-0.09735603630542755,-0.054848965257406235,0.2859119474887848,0.6891255974769592,-0.05966469645500183,1.049564003944397,0.16339774429798126,0.1852928251028061,0.10696062445640564,0.7343764305114746,0.6013785600662231,-0.39898043870925903,-0.09847358614206314,0.0,0.0,0.0]","[-0.03661464899778366,0.2952693700790405,0.6743388772010803,-0.08928775787353516,0.9647375345230103,0.10274020582437515,0.18565808236598969,0.06583566963672638,0.5153195261955261,0.7680096626281738,-0.5202488899230957,-0.12924166023731232]"
1777016360.204093,14,"[-0.10077740997076035,0.5697551369667053,0.11830294132232666,0.020791688933968544,0.02497188188135624,-0.99947190284729,-0.007110385224223137,-0.003805175656452775,0.12737597525119781,-0.12304418534040451,-0.019449111074209213,0.07060378044843674,0.011089744977653027,0.02733713760972023,0.16129763424396515,-0.19751647114753723,-0.10969352722167969,-0.01137617602944374,0.009500047191977501,0.43133872747421265,0.049417078495025635,0.1702963411808014,0.32728520035743713,-0.4487122893333435,0.2195204198360443,0.7123318910598755,-0.6984338760375977,1.8796312808990479,2.319742441177368,-0.009871192276477814,-0.03661464899778366,0.2952693700790405,0.6743388772010803,-0.08928775787353516,0.9647375345230103,0.10274020582437515,0.18565808236598969,0.06583566963672638,0.5153195261955261,0.7680096626281738,-0.5202488899230957,-0.12924166023731232,0.0,0.0,0.0]","[-0.010619577020406723,0.2684621810913086,0.615614116191864,-0.06354343891143799,0.9106807708740234,0.005591005086898804,0.19423770904541016,-0.0017631053924560547,-0.09022172540426254,0.7007241249084473,-0.7524879574775696,-0.22174440324306488]"
1777016360.224003,15,"[-0.15786993503570557,0.3471336364746094,0.06284058094024658,0.030152631923556328,0.02770264260470867,-0.9991613626480103,-0.006943377200514078,0.0036853733472526073,0.13140568137168884,-0.1200241819024086,-0.007243457715958357,0.054558366537094116,0.012061634100973606,0.037479378283023834,0.1355210542678833,-0.15363797545433044,-0.06364486366510391,-0.0162266306579113,0.007651894353330135,0.3592720031738281,0.24296042323112488,0.13778887689113617,0.6576560735702515,-0.8513858318328857,0.038194119930267334,0.4442480802536011,-1.3870341777801514,2.2438173294067383,2.3444814682006836,-0.29309388995170593,-0.010619577020406723,0.2684621810913086,0.615614116191864,-0.06354343891143799,0.9106807708740234,0.005591005086898804,0.19423770904541016,-0.0017631053924560547,-0.09022172540426254,0.7007241249084473,-0.7524879574775696,-0.22174440324306488,0.0,0.0,0.0]","[-0.0052100494503974915,0.22793900966644287,0.5172059535980225,-0.036849528551101685,0.6095614433288574,-0.057827308773994446,0.1464965045452118,-0.09124868363142014,-0.3880349397659302,0.7262775897979736,-1.0009186267852783,-0.2792030870914459]"
1777016360.244110,16,"[-0.18515270948410034,0.06573126465082169,-0.04767328128218651,0.033540353178977966,0.03126915916800499,-0.9989480972290039,-0.006906040478497744,0.009667283855378628,0.14087261259555817,-0.11691766232252121,0.006889490410685539,0.03402727469801903,0.012012791819870472,0.039480455219745636,0.10079242289066315,-0.10668235272169113,-0.014764681458473206,-0.028290970250964165,0.0009355237707495689,0.28827202320098877,0.5125648975372314,0.15818318724632263,0.7017451524734497,-1.0315855741500854,-0.005861483979970217,0.05031552165746689,-1.780821442604065,2.346662998199463,2.4401473999023438,-0.662582278251648,-0.0052100494503974915,0.22793900966644287,0.5172059535980225,-0.036849528551101685,0.6095614433288574,-0.057827308773994446,0.1464965045452118,-0.09124868363142014,-0.3880349397659302,0.7262775897979736,-1.0009186267852783,-0.2792030870914459,0.0,0.0,0.0]","[-0.004817046225070953,0.19343119859695435,0.40722954273223877,-0.02209603786468506,0.24360528588294983,-0.08215723931789398,0.05084017664194107,-0.13568106293678284,-0.39054399728775024,0.7991223931312561,-1.1445733308792114,-0.2961101830005646]"
1777016360.264020,17,"[-0.15766608715057373,0.05094834789633751,-0.11604802310466766,0.034132976084947586,0.034746069461107254,-0.9988130927085876,-0.006991339381784201,0.015360663644969463,0.15207244455814362,-0.11179081350564957,0.015762295573949814,0.015022292733192444,0.00821368582546711,0.035962678492069244,0.06571552157402039,-0.06086768954992294,0.03162050619721413,-0.04559158533811569,-0.004521913360804319,0.28240710496902466,0.5533696413040161,0.275221586227417,0.3747212290763855,-0.9190110564231873,-0.22321873903274536,-0.22087082266807556,-1.7213109731674194,2.2624242305755615,2.2798960208892822,-0.8831906318664551,-0.004817046225070953,0.19343119859695435,0.40722954273223877,-0.02209603786468506,0.24360528588294983,-0.08215723931789398,0.05084017664194107,-0.13568106293678284,-0.39054399728775024,0.7991223931312561,-1.1445733308792114,-0.2961101830005646,0.0,0.0,0.0]","[-0.0011678226292133331,0.1563566029071808,0.30752450227737427,-0.004807367920875549,-0.000722244381904602,-0.08698508888483047,-0.03520899638533592,-0.13982447981834412,-0.3825913667678833,0.838858425617218,-1.2032984495162964,-0.27567845582962036]"
1777016360.284056,18,"[-0.06702792644500732,-0.13044820725917816,-0.12110494822263718,0.03289823234081268,0.037110164761543274,-0.9987695217132568,-0.007255837321281433,0.02086675353348255,0.16494864225387573,-0.10190048813819885,0.015807002782821655,0.0008472288027405739,0.006547705736011267,0.03477466478943825,0.0426534041762352,-0.03985491767525673,0.025083404034376144,-0.04366278648376465,-0.012590758502483368,0.2722581923007965,0.6294233798980713,0.5547579526901245,-0.01918753795325756,-0.6633949875831604,-0.06339085847139359,-0.028540918603539467,-1.0689071416854858,0.8150030374526978,-0.01599973440170288,0.220022052526474,-0.0011678226292133331,0.1563566029071808,0.30752450227737427,-0.004807367920875549,-0.000722244381904602,-0.08698508888483047,-0.03520899638533592,-0.13982447981834412,-0.3825913667678833,0.838858425617218,-1.2032984495162964,-0.27567845582962036,0.0,0.0,0.0]","[0.0165703222155571,0.09125256538391113,0.2158433198928833,0.03380289673805237,-0.17413102090358734,-0.032221294939517975,-0.06307414174079895,-0.15034784376621246,-0.3721829056739807,0.8179455995559692,-1.2419369220733643,-0.300200492143631]"
1777016360.304053,19,"[-0.031752683222293854,-0.08473942428827286,-0.0847213864326477,0.03053661622107029,0.03796996921300888,-0.998812198638916,-0.007301568519324064,0.02376100979745388,0.17262697219848633,-0.08664949983358383,0.0037185351829975843,-0.0055824765004217625,0.0056599159725010395,0.035239532589912415,0.026067253202199936,-0.031456299126148224,0.031306590884923935,-0.044226452708244324,-0.000894930912181735,0.11280173808336258,0.3149198889732361,0.7887599468231201,-0.7114012241363525,-0.2593110203742981,-0.0402047336101532,0.020901042968034744,-0.7990953326225281,0.41147348284721375,0.2818868160247803,-0.11998669803142548,0.0165703222155571,0.09125256538391113,0.2158433198928833,0.03380289673805237,-0.17413102090358734,-0.032221294939517975,-0.06307414174079895,-0.15034784376621246,-0.3721829056739807,0.8179455995559692,-1.2419369220733643,-0.300200492143631,0.0,0.0,0.0]","[0.025477111339569092,0.0372186042368412,0.13345912098884583,0.08078470826148987,-0.22296057641506195,0.004881931468844414,-0.07481404393911362,-0.16826283931732178,-0.4146917462348938,0.8045541644096375,-1.2702418565750122,-0.34866440296173096]"
1777016360.324021,20,"[0.0004183738201390952,-0.03875776007771492,-0.05344068631529808,0.029574356973171234,0.038308389484882355,-0.9988282322883606,-0.0072365920059382915,0.024092575535178185,0.1736111342906952,-0.0689513087272644,-0.0179855078458786,-0.006469708401709795,0.0047187539748847485,0.03537272289395332,0.01141196396201849,-0.02239975705742836,0.034338127821683884,-0.051369938999414444,0.0037807777989655733,0.00898696854710579,0.009881983511149883,0.8958184719085693,-1.1241323947906494,-0.026410069316625595,-0.05206973850727081,0.004384640604257584,-0.7352336645126343,0.47293534874916077,0.13530775904655457,-0.3385049104690552,0.025477111339569092,0.0372186042368412,0.13345912098884583,0.08078470826148987,-0.22296057641506195,0.004881931468844414,-0.07481404393911362,-0.16826283931732178,-0.4146917462348938,0.8045541644096375,-1.2702418565750122,-0.34866440296173096,0.0,0.0,0.0]","[0.023223429918289185,-0.007246680557727814,0.048304829746484756,0.12845903635025024,-0.2109166532754898,0.016396528109908104,-0.06413793563842773,-0.20239299535751343,-0.4860770106315613,0.7682123184204102,-1.2807706594467163,-0.40061241388320923]"
1777016360.344045,21,"[0.05157175660133362,-0.06272222846746445,-0.04760881885886192,0.028506599366664886,0.03768540918827057,-0.9988829493522644,-0.00716768903657794,0.023407859727740288,0.17003948986530304,-0.05025871843099594,-0.039657264947891235,-0.006081215105950832,0.0038978802040219307,0.035259753465652466,-0.0036259328480809927,-0.011823329143226147,0.036101825535297394,-0.05680599436163902,0.0034854249097406864,-0.04213894158601761,-0.21986928582191467,0.9331965446472168,-1.0503535270690918,0.02448895573616028,-0.03898517042398453,-0.0076148477382957935,-0.7561410665512085,0.5367934703826904,0.08145245909690857,-0.23788988590240479,0.023223429918289185,-0.007246680557727814,0.048304829746484756,0.12845903635025024,-0.2109166532754898,0.016396528109908104,-0.06413793563842773,-0.20239299535751343,-0.4860770106315613,0.7682123184204102,-1.2807706594467163,-0.40061241388320923,0.0,0.0,0.0]","[0.015019088983535767,-0.039968494325876236,-0.03536486625671387,0.16685950756072998,-0.16913487017154694,0.01961422897875309,-0.04611370712518692,-0.2658694386482239,-0.5393930077552795,0.7169979810714722,-1.2922886610031128,-0.455401748418808]"
1777016360.364149,22,"[0.07605012506246567,-0.104915089905262,-0.026346728205680847,0.026731358841061592,0.03630916401743889,-0.9989830255508423,-0.007161525543779135,0.020824113860726357,0.16185826063156128,-0.03170085698366165,-0.054374516010284424,-0.005192441400140524,0.0034943914506584406,0.033270951360464096,-0.018713420256972313,-0.0017001406522467732,0.037408988922834396,-0.060837313532829285,5.113966471981257e-05,-0.14798042178153992,-0.44760558009147644,0.9194223880767822,-0.6665563583374023,0.046424537897109985,-0.0181870236992836,-0.12266716361045837,-0.7540748119354248,0.4942893385887146,0.0657491460442543,-0.1896439790725708,0.015019088983535767,-0.039968494325876236,-0.03536486625671387,0.16685950756072998,-0.16913487017154694,0.01961422897875309,-0.04611370712518692,-0.2658694386482239,-0.5393930077552795,0.7169979810714722,-1.2922886610031128,-0.455401748418808,0.0,0.0,0.0]","[0.006647586822509766,-0.06121746078133583,-0.11861177533864975,0.20375022292137146,-0.11835484206676483,0.0304789487272501,-0.018777035176753998,-0.32431164383888245,-0.5741279125213623,0.6568795442581177,-1.3015329837799072,-0.5077306032180786]"
1777016360.383972,23,"[0.07582730054855347,-0.15657056868076324,0.012927666306495667,0.023999560624361038,0.03475267440080643,-0.9991077184677124,-0.007227133959531784,0.01584603264927864,0.149308979511261,-0.013785972259938717,-0.05967499688267708,-0.0035583910066634417,0.0034025036729872227,0.027584660798311234,-0.03329123556613922,0.005871792323887348,0.03874078392982483,-0.065121129155159,-0.00347689725458622,-0.26777756214141846,-0.6630513072013855,0.8861254453659058,-0.19317668676376343,0.086695596575737,-0.003200346836820245,-0.31779709458351135,-0.725494921207428,0.351483553647995,0.0723753571510315,-0.22252443432807922,0.006647586822509766,-0.06121746078133583,-0.11861177533864975,0.20375022292137146,-0.11835484206676483,0.0304789487272501,-0.018777035176753998,-0.32431164383888245,-0.5741279125213623,0.6568795442581177,-1.3015329837799072,-0.5077306032180786,0.0,0.0,0.0]","[0.001352105289697647,-0.0696503072977066,-0.19731706380844116,0.24557888507843018,-0.055434852838516235,0.052642397582530975,0.014610296115279198,-0.36149612069129944,-0.6024971604347229,0.5846875905990601,-1.3032063245773315,-0.5481987595558167]"
1777016360.403998,24,"[0.07050144672393799,-0.22014497220516205,0.03580155223608017,0.020117688924074173,0.033286333084106445,-0.9992433786392212,-0.007318069692701101,0.00911566149443388,0.1328020691871643,0.0035021041985601187,-0.057435233145952225,-0.0003042799071408808,0.0034506218507885933,0.01752324402332306,-0.04711447283625603,0.009480210952460766,0.04034380987286568,-0.07024937123060226,-0.003279192838817835,-0.34500154852867126,-0.8631179332733154,0.8554373979568481,0.15722909569740295,0.17377358675003052,-0.0035801674239337444,-0.5593031048774719,-0.6955420970916748,0.16242273151874542,0.11844034492969513,-0.2772448658943176,0.001352105289697647,-0.0696503072977066,-0.19731706380844116,0.24557888507843018,-0.055434852838516235,0.052642397582530975,0.014610296115279198,-0.36149612069129944,-0.6024971604347229,0.5846875905990601,-1.3032063245773315,-0.5481987595558167,0.0,0.0,0.0]","[0.0007974803447723389,-0.0679389089345932,-0.2610613703727722,0.29498544335365295,0.043403372168540955,0.08229703456163406,0.04563426971435547,-0.37278932332992554,-0.6169559955596924,0.4875172972679138,-1.2885994911193848,-0.5686144232749939]"
